1,0,"(-0.5532507150556611, 0.02891106735982829, -0.9533438818475934, 0.340911974322744)",0,0
1,1,"(-0.6866484783065816, 0.18935629599830084, -0.5415950633439308, -0.2581702059925799)",0,0
1,2,"(0.11073837930003849, -0.7818584065475624, -0.1963849554468713, 0.38802985579235316)",7,280
1,3,"(0.807126139800965, -0.8718169060266241, 0.7961284198646263, 0.3068237343517153)",0,0
1,4,"(0.5081680232580004, -0.4864409181901661, -0.1779366628469714, 0.3309418359644969)",0,0
1,5,"(-0.5620802440756745, 0.6700910397684021, 0.9825507188941098, -0.034389983910757316)",0,0
1,6,"(-0.007517575939330223, -0.7024985794381455, 0.8859323287469159, -0.2954008985973313)",1,40
1,7,"(0.2651695869952204, -0.08854214860888865, -0.8883587017937153, -0.9983484414893986)",0,0
1,8,"(-0.01186132921152705, -0.7484063433255057, 0.9303346417854215, -0.018368654077829838)",0,0
1,9,"(0.17632699333228063, 0.46922683074433036, 0.8688312913800478, -0.856162136568581)",0,0
1,10,"(-0.2153030719731246, -0.7912776433988604, 0.11164998813168125, 0.5286596227035107)",4,160
1,11,"(0.15190454931781083, -0.06975138025426109, -0.5309444750196517, 0.9937752240249502)",89,3680
1,12,"(-0.18051519048363507, -0.567142407713279, 0.17767177624056463, -0.23780694000712344)",1,40
1,13,"(0.805721940748221, -0.06649350687605282, -0.44277881817945874, -0.6741010303718078)",0,0
1,14,"(-0.06884922905205437, -0.578466663801714, 0.16109114220301723, 0.31577651970721754)",1,40
1,15,"(0.7075618881447332, -0.12483413932769749, -0.680657285632488, -0.42829763899334106)",0,0
1,16,"(0.7333110516469206, 0.9454683014379668, 0.7520039395817253, -0.41318635742729004)",0,0
1,17,"(-0.21542174492802002, -0.9816544079985283, -0.16246218207089158, -0.030857239396791414)",4,160
1,18,"(0.11795891734030906, 0.7831844744900682, 0.5157334965888252, 0.7483737869116476)",0,0
1,19,"(-0.8148759826808989, 0.5048654330264037, -0.9293787110485201, -0.9026143889024165)",0,0
1,20,"(-0.27954764539903487, -0.06893510390360946, 0.40930115728829053, 0.6021304178349873)",0,0
1,21,"(0.14912271268206223, 0.03884816738248942, -0.8352318283455791, -0.854606949006602)",0,0
1,22,"(-0.4338321995453045, -0.742965094589356, -0.46968109534986446, -0.9993709753021025)",5,200
1,23,"(-0.38314169116545393, 0.4908307842538917, 0.46904516965884246, 0.8994746704004108)",0,0
1,24,"(-0.0838308086859445, -0.9405025490548191, 0.3750727912038829, -0.5162687887883333)",1,40
1,25,"(0.735228953983996, 0.9897552948124677, 0.5519451708152026, -0.01524482413556738)",0,0
1,26,"(0.2554557306493608, -0.16365609892223465, -0.868669394774765, -0.7766945549786701)",0,0
1,27,"(-0.17219629863412989, 0.6696719688301722, 0.9262670951100029, 0.38561727221165887)",0,0
1,28,"(0.36089559401915916, -0.7653127533979238, -0.919079116707431, -0.7655886338792814)",2,80
1,29,"(0.29632535854279207, 0.2521062636307083, -0.28089187401151827, -0.8616064108313748)",0,0
1,30,"(0.992469481368262, -0.5952464040556349, -0.9216503933618982, -0.701904605993491)",1,40
1,31,"(-0.6329929667880099, 0.14031537897643132, -0.5965827475628083, 0.5774442634618253)",0,0
1,32,"(-0.7949205724051784, 0.009873871553591762, -0.3976233115863874, 0.06821972220080852)",0,0
1,33,"(0.6469018954546848, 0.3590130398218685, 0.7328832007636663, -0.263135554705495)",0,0
1,34,"(0.5862508096163352, -0.10669048713947937, 0.45127389401755247, 0.5592326840680504)",0,0
1,35,"(0.3366230472109244, -0.058814927808161555, 0.9507505412109276, -0.504379781767665)",0,0
1,36,"(0.2816449852066192, -0.2793525866378799, -0.9043427861919449, -0.5414416403184026)",4,160
1,37,"(-0.7673459146139834, -0.05316005257573986, -0.9398638714960119, 0.4814838743881904)",75,3800
1,38,"(-0.8764839792416907, 0.1584760674758856, -0.3300231653953767, -0.6134045775457764)",0,0
1,39,"(0.7498291660478666, -0.17835334327556862, 0.8756688771908618, 0.4488751297747231)",0,0
1,40,"(-0.44575835455790225, -0.9403984890513499, 0.7371466831000473, -0.09602194700944633)",0,0
1,41,"(-0.8404629966865329, 0.39863068032264226, -0.23740204833124712, -0.945044297907097)",0,0
1,42,"(0.9507420245148421, -0.9109847895437138, 0.006022464887438295, 0.7023726697515791)",0,0
1,43,"(0.9857445391097179, 0.18994602365224056, -0.8368464000447637, 0.13291680459215183)",0,0
1,44,"(-0.30378577335713786, 0.5348232331845018, -0.32324323617082107, -0.2194034622164902)",0,0
1,45,"(0.9050029771805685, 0.876534354122543, 0.55574405091198, -0.7850948278911398)",0,0
1,46,"(0.20088044954366802, 0.31037681567788167, 0.9785476493176422, 0.11649640304128517)",0,0
1,47,"(-0.758254639032492, -0.6109216192356122, -0.004105222766856098, 0.06651361807214884)",12,480
1,48,"(0.6748961874481134, 0.2795722789600974, 0.31480902918234377, -0.5672085272314196)",0,0
1,49,"(0.07419898544495074, -0.5644479820504493, 0.9641992549504821, 0.21262429177295572)",0,0
1,50,"(0.5881722022716966, 0.2836414543448791, -0.6398952612431763, -0.7821404855251737)",0,0
1,51,"(-0.41027472755225247, -0.0777888454707254, 0.017412334844202793, -0.48746696011261914)",0,0
1,52,"(0.19629292422789213, -0.356111431383225, -0.34977605394443456, 0.6168952422776912)",12,480
1,53,"(-0.20582733725337898, 0.08785652300259628, 0.54423193551203, -0.5495301659155334)",0,0
1,54,"(-0.3300116386507872, -0.7346377386939813, -0.3075641696334994, -0.8090758744815003)",4,160
1,55,"(-0.5145341768293921, -0.29748146051075275, 0.9471667557396923, -0.9456115233105442)",0,0
1,56,"(0.8459266064020479, 0.876318266186811, 0.9562005234064821, 0.5584975782437624)",0,0
1,57,"(-0.24940556163329552, 0.9842823468692325, 0.1558417592163548, 0.5126755446055424)",0,0
1,58,"(-0.03542297584155918, -0.3324598781481214, -0.5787793145058866, -0.5118057931277789)",5,200
1,59,"(0.0357321286935699, -0.1102022015185522, -0.27447475357812356, -0.5836056518674453)",0,0
1,60,"(-0.7705828830556112, 0.9232426012734232, -0.7686671858264729, 0.14299373103717672)",0,0
1,61,"(0.3752011014717196, -0.19530757063304138, -0.4030896066888181, -0.03393585578577607)",1,40
1,62,"(-0.3868273088208407, -0.051356540899510694, 0.3681579399601982, 0.664090867067183)",4,160
1,63,"(0.19946031222174243, 0.3429382441553064, -0.6893523295675452, -0.5880290144024574)",0,0
1,64,"(-0.7170096713761029, -0.1467884902372516, -0.5983926790776457, 0.21973849584093075)",43,1920
1,65,"(-0.7423244177621142, 0.8494316857413526, 0.5064781404102972, -0.001896746053217102)",0,0
1,66,"(0.8795130923257037, -0.6510500496928424, 0.4185808886168345, 0.4897456068105166)",0,0
